CODIGO	NOMBRE	DEPARTAMENTO	MATRICULA TOTAL	Inicial 1	Inicial 2	Inicial 3	Parvularia 4	Parvularia 5	Parvularia 6	Primer Grado	Segundo Grado	Tercer Grado	Cuarto Grado	Quinto Grado	Sexto Grado	SÇptimo Grado	Octavo Grado	Noveno Grado	Primer A§o	Segundo A§o	Tercer A§o	Primer Grado - A§o 1	Primer Grado - A§o 2	Segundo Grado - A§o 1	Segundo Grado - A§o 2	Tercer Grado - A§o 1	Tercer Grado - A§o 2	Cuarto Grado - A§o 1	Cuarto Grado - A§o 2	Laboral Inicial A§o 1	Laboral Inicial A§o 2	Especializaci¢n Laboral A§o 1	Especializaci¢n Laboral A§o 2	Especializaci¢n Laboral A§o 3
11959	"COMPLEJO EDUCATIVO ""CLAUDIA LARS"""	LA PAZ	404				13	21	33	36	38	18	23	31	36	52	31	26	34		12													
11960	"CENTRO ESCOLAR ""CANTON CANDELARIA"""	LA PAZ	189				5	24	16	19	22	16	19	20	28		20																	
11962	CENTRO ESCOLAR  CANT‡N EL GOLFO	LA PAZ	136				1	8	4	11	12	8	12	9	12	25	17	17																
11963	"CENTRO ESCOLAR ""CANTON LA LONGANIZA"""	LA PAZ	163				11	13	13	15	14	11	10	15	13	19	18	11																
11964	"CENTRO ESCOLAR  ""CANTON LA LAGUNETA"""	LA PAZ	112				1	4	9	5	7	9	19	7	12	17	15	7																
11968	"CENTRO ESCOLAR ""CANTON LOS ZACATILLOS"""	LA PAZ	76				4	9	3	10	11	14	9	10	6																			
11969	"CENTRO ESCOLAR ""CANTON EL PAJAL"""	LA PAZ	248				16	21	25	18	19	18	17	19	24	28	27	16																
11970	"CENTRO ESCOLAR ""CANTON TIERRA COLORADA"""	LA PAZ	43				1	4	4	4	4	9	11	4	2																			
11971	"CENTRO ESCOLAR ""PROFESOR IRENEO DE LEON"""	LA PAZ	452				15	24	44	33	38	38	56	36	46	41	37	44																
11972	"COMPLEJO EDUCATIVO ""PROFESOR FELIPE HUEZO C‡RDOVA"""	LA PAZ	502				17	18	21	23	26	36	33	39	42	57	43	43	51	42	11													
11975	"CENTRO ESCOLAR ""PROFESORA JUANA SARA LOPEZ DE MIRANDA"""	LA PAZ	235							27	24	28	28	21	31	34	24	18																
11976	"CENTRO ESCOLAR ""DOCTOR GILBERTO LISANDRO VASQUEZ SOSA"""	LA PAZ	95				3	8	10	12	10	11	10	7	6	10	7	1																
11977	"CENTRO ESCOLAR ""CANTON EL TOBALON"""	LA PAZ	33				7	5	7	3	3	3	2	1	2																			
11980	"CENTRO ESCOLAR ""CANTON LOS HUEZO"""	LA PAZ	284				5	13	23	26	25	28	33	21	28	27	32	23																
11982	"COMPLEJO EDUCATIVO ""PROFESOR ALBERTO VARELA"""	LA PAZ	769				18	26	33	59	47	42	68	56	59	57	72	52	71	63	46													
11983	CENTRO ESCOLAR CANTON  LA CRUZ	LA PAZ	25				5		4	3	1	3	2	5	2																			
11984	"INSTITUTO NACIONAL ""DE SAN JUAN TEPEZONTES"""	LA PAZ	107																52	55														
11987	"CENTRO ESCOLAR ""MANUELA MINERO DE MEJIA"""	LA PAZ	517				12	26	27	44	41	44	56	56	49	48	55	59																
11988	INSTITUTO NACIONAL  DE SAN LUIS TALPA	LA PAZ	491																204	215	72													
11989	"CENTRO ESCOLAR ""LOTIFICACION LA FORTUNA"""	LA PAZ	99					10	9	19	15	10	12	16	8																			
11991	"CENTRO ESCOLAR ""CASER÷O EL SALAMAR"""	LA PAZ	220				8	15	17	19	25	15	19	19	13	24	19	27																
11992	"CENTRO ESCOLAR ""CANTON NUEVO EDEN"""	LA PAZ	114				3	6	10	10	8	9	6	10	12	16	18	6																
11994	"CENTRO ESCOLAR ""CASERIO LA ZUNGANERA"""	LA PAZ	113				8	10	12	21	13	16	19	10	4																			
11995	"CENTRO ESCOLAR ""CANTON TECUALUYA"""	LA PAZ	27				2	4	6	3	5	2	2	2	1																			
11997	"CENTRO ESCOLAR ""CANT‡N AMATECAMPO"""	LA PAZ	209				5	11	17	22	13	21	21	31	21	17	16	14																
11998	"COMPLEJO EDUCATIVO  ""SAN LUIS TALPA"""	LA PAZ	884				35	49	52	57	70	58	64	70	65	97	71	77	46	36	37													
11999	"CENTRO ESCOLAR ""CASERIO SANTA CLARA"""	LA PAZ	609				30	31	46	49	48	51	49	59	64	83	54	45																
12000	"CENTRO ESCOLAR ""CANTON SAN BARTOLO"""	LA PAZ	117				3	7	9	10	9	10	13	10	7	15	12	12																
12001	"CENTRO ESCOLAR ""LA PAZ"""	LA PAZ	633							59	57	81	75	73	62	80	65	81																
12002	"ESCUELA DE EDUCACION PARVULARIA ""DE SAN MIGUEL TEPEZONTES"""	LA PAZ	162				45	46	71																									
12003	"CENTRO ESCOLAR ""CANTON LAS HOJAS"""	LA PAZ	113				2	10	6	12	12	15	6	13	16	10	7	4																
12004	"CENTRO ESCOLAR ""CASERIO DIVINA PROVIDENCIA"""	LA PAZ	306				7	25	24	25	24	36	35	26	29	35	18	22																
12006	INSTITUTO NACIONAL MONSE•OR TOMAS MIGUEL PINEDA Y SALDA•A	LA PAZ	35																11	24														
12007	COMPLEJO EDUCATIVO CANT‡N SAN MARCELINO	LA PAZ	707				21	40	45	65	66	46	60	77	62	58	55	37	29	22	24													
12008	"CENTRO ESCOLAR  ""CANTON DULCE NOMBRE"""	LA PAZ	141				2	11	5	3	8	8	6	8	21	20	24	25																
12009	"CENTRO ESCOLAR ""CANTON EL ACHIOTAL"""	LA PAZ	343					8	26	33	30	43	35	36	36	30	33	33																
12010	"CENTRO ESCOLAR ""CANTON EL PAREDON"""	LA PAZ	32				3	5	7	3	3	3	3	2	3																			
12011	"CENTRO ESCOLAR ""PROFESORA MARIA OLIMPIA ESCOBAR DE SIBRIAN"""	LA PAZ	317				3	29	20	33	28	34	21	25	37	28	34	25																
12012	"COMPLEJO EDUCATIVO  ""CANTON LAS ISLETAS"""	LA PAZ	724				16	18	13	61	58	58	55	63	63	83	54	74	56	52														
12013	COMPLEJO EDUCATIVO  CANT‡N BARAHONA	LA PAZ	213				4	12	15	15	17	13	14	18	20	25	18	14	11	17														
12015	"CENTRO ESCOLAR ""MARIA TERESA DUKE"""	LA PAZ	606				23	36	61	59	43	46	55	53	64	54	60	52																
12016	COMPLEJO EDUCATIVO CANT‡N EL PORVENIR	LA PAZ	216				13	10	18	15	17	14	13	14	19	11	15	18	23	16														
12017	"CENTRO ESCOLAR ""NEMESIA LUNA"""	LA PAZ	340				14	20	22	33	25	28	41	27	32	32	26	40																
12018	"ESCUELA DE EDUCACION PARVULARIA ""CLOTILDE HUEZO PRADO"""	LA PAZ	13				4	3	6																									
12019	"CENTRO ESCOLAR ""ADOLFO FERNµNDEZ"""	LA PAZ	96				1	5	5	6	7	4	9	13	12	11	15	8																
12020	"CENTRO ESCOLAR ""CANTON LA CARBONERA"""	LA PAZ	55				11	14	8	12	10																							
12023	"INSTITUTO NACIONAL ""AUGUSTO CESAR ROMERO"""	LA PAZ	210																94	79	37													
12024	"CENTRO ESCOLAR ""TIMOTEO LIEVANO"""	LA PAZ	615				16	29	42	34	41	38	47	81	51	74	73	89																
12026	"CENTRO ESCOLAR ""JUAN BERNAL MIRA"""	LA PAZ	135				5	17	16	19	17	12	17	17	15																			
12027	"CENTRO ESCOLAR ""CANTON LA COMUNIDAD"""	LA PAZ	44				1	1	4	7	11	3	2	12	3																			
12028	"CENTRO ESCOLAR ""DOCTORA MILAGRO ANTONIA MARTINEZ DE FIGUEROA"""	LA PAZ	206				9	13	14	20	17	25	19	15	16	19	21	18																
12030	"CENTRO ESCOLAR ""CANTON SAN JOSE OBRAJUELO"""	LA PAZ	112				2	8	10	9	16	3	14	14	8	8	9	11																
12031	"INSTITUTO NACIONAL ""PROFESOR FRANCISCO GUERRERO"""	LA PAZ	117																47	49	21													
12032	"CENTRO ESCOLAR ""PROFESOR JOSE RICARDO CATIVO"""	LA PAZ	230				11	20	16	10	19	22	15	30	35	16	23	13																
12033	"CENTRO ESCOLAR ""PROFESOR RAFAEL OSORIO HIJO"""	LA PAZ	542							50	60	42	67	50	66	65	74	68																
12034	ESCUELA DE EDUCACI‡N PARVULARIA JULITA ALFONSO	LA PAZ	131				30	52	49																									
12035	"CENTRO ESCOLAR ""CANTON LA PALMA"""	LA PAZ	396				20	25	27	38	36	35	31	42	36	41	40	25																
12036	"CENTRO ESCOLAR ""CANTON SAN MIGUEL OBRAJUELO"""	LA PAZ	32				3	2	3	5	4	5	7	2	1																			
12037	"CENTRO ESCOLAR ""CANTON SAN JOSE CARRIZAL"""	LA PAZ	152				7	11	14	13	13	10	18	16	11	20	10	9																
12038	"ESCUELA DE EDUCACION PARVULARIA ""PROFESOR JOSE CUPERTINO ROSALES"""	LA PAZ	67				14	27	26																									
12039	"CENTRO ESCOLAR ""TENIENTE CORONEL JOSE CARLOS FLORES BENITEZ"""	LA PAZ	419							31	51	39	45	43	45	64	48	53																
12042	INSTITUTO NACIONAL DE SANTA MARIA OSTUMA	LA PAZ	163																74	52	37													
12043	"CENTRO ESCOLAR ""DOROTEO DE JESÈS C‡RDOVA PINEDA"""	LA PAZ	135				4	6	13	14	10	10	10	11	16	18	12	11																
12045	"CENTRO ESCOLAR ""CANTON SAN ANTONIO"""	LA PAZ	40				1	3	6	4	5	8	9	2	2																			
12047	"CENTRO ESCOLAR ""DE SUECIA"""	LA PAZ	61				3	9	5	11	7	7	8	6	5																			
12048	"CENTRO ESCOLAR ""COLONIA SANTA INES"""	LA PAZ	25				3	5	12		2	2		1																				
12049	"INSTITUTO NACIONAL ""JOSE INGENIEROS"""	LA PAZ	706																288	289	129													
12050	"CENTRO ESCOLAR ""CANTON CONCEPCION JALPONGA"""	LA PAZ	170				20	17	18	25	21	20	18	14	17																			
12051	"CENTRO ESCOLAR ""CENTRO AMERICA"""	LA PAZ	274				9	11	16	27	26	24	24	23	19	27	37	31																
12052	"CENTRO ESCOLAR ""CASERIO SAN CRISTOBAL"""	LA PAZ	17							4	3	5	4		1																			
12053	"CENTRO ESCOLAR ""ANASTACIO AQUINO"""	LA PAZ	398				12	32	20	43	31	26	40	31	31	52	39	41																
12054	"CENTRO ESCOLAR ""CASERIO OJO DE AGUA"""	LA PAZ	102				2	8	16	14	9	16	16	11	10																			
12055	"COMPLEJO EDUCATIVO ""SOLEDAD MELARA DE ARGUETA"""	LA PAZ	388				1	8	26	38	24	34	31	37	37	40	33	31	26	22														
12057	"CENTRO ESCOLAR ""CANTON SANTA CRUZ CHACASTAL"""	LA PAZ	57				3	6	2		9	3	6	9	1	7	4	7																
12058	"CENTRO ESCOLAR ""CANTON EL SAUCE"""	LA PAZ	28				1	1	4	4	5	3	4	3	3																			
12059	"CENTRO ESCOLAR ""CASERIO LA FLECHA"""	LA PAZ	413				16	20	35	35	44	43	29	35	40	45	37	34																
12060	"CENTRO ESCOLAR ""CANTON SAN SEBASTIAN ARRIBA"""	LA PAZ	214				15	14	17	22	18	16	24	18	18	20	15	17																
12061	"CENTRO ESCOLAR ""14 DE ABRIL"""	LA PAZ	190				18	9	15	10	13	23	14	19	15	17	23	14																
12062	"CENTRO ESCOLAR ""CANTON SAN ANTONIO ARRIBA"""	LA PAZ	494				10	19	36	49	57	39	48	27	52	66	44	47																
12063	"CENTRO ESCOLAR ""CANTON SAN SEBASTIAN ABAJO"""	LA PAZ	75				6	10	5	10	9	8	8	10	9																			
12065	"CENTRO ESCOLAR ""CANTON AMULUNCO"""	LA PAZ	137				2	9	8	8	9	7	15	10	13	17	18	21																
12066	"CENTRO ESCOLAR ""CANTON SAN JOSE OBRAJITO"""	LA PAZ	252				11	11	19	16	20	16	29	24	23	33	30	20																
12067	"CENTRO ESCOLAR ""MORELIA"""	LA PAZ	232					8	16	25	20	22	26	26	25	27	19	18																
12068	"COMPLEJO EDUCATIVO ""CANT‡N SAN JOSE ABAJO"""	LA PAZ	298				8	17	19	23	27	15	20	23	25	22	31	29	16	15	8													
12070	"CENTRO ESCOLAR ""CANTON SAN LUIS JALPONGUITA"""	LA PAZ	211				12	12	22	21	25	21	25	17	12	16	13	15																
12071	"CENTRO ESCOLAR ""CUSCATLµN"""	LA PAZ	745				7	32	42	57	72	60	76	79	89	100	67	64																
12072	"COMPLEJO EDUCATIVO  ""DOCTOR JOAQU÷N JULE GµLVEZ"""	LA PAZ	548				9	16	32	33	34	44	55	43	47	64	51	47	38	35														
12073	"CENTRO ESCOLAR ""ESTADOS UNIDOS DE AMERICA"""	LA PAZ	149				2	8	11	12	12	17	10	19	18	18	11	11																
12074	"ESCUELA DE EDUCACI‡N PARVULARIA ""DOCTOR MIGUEL EDUARDO APARICIO JULE"""	LA PAZ	196				45	74	77																									
12076	"CENTRO ESCOLAR ""DOCTOR HERMOGENES ALVARADO"""	LA PAZ	601							38	50	52	50	71	54	88	106	92																
12077	"CENTRO ESCOLAR ""PROFESORA JUANA ROSELIA RUIZ"""	LA PAZ	123				3	5	7	12	9	10	4	11	16	10	14	22																
12079	"COMPLEJO EDUCATIVO  ""JOSê SIME‡N CA•AS"""	LA PAZ	1122				39	43	53	89	71	65	82	81	87	142	106	96	96	51	21													
12080	"COMPLEJO EDUCATIVO ""MARCOS OCHOA"""	LA PAZ	222				5	18	14	15	23	14	14	5	4	24	17	25	23	21														
12081	"CENTRO ESCOLAR ""PROFESOR ADOLFO DE JESUS MARQUEZ"""	LA PAZ	108				2	8	8	8	8	7	9	15	13	13	7	10																
12082	"CENTRO ESCOLAR ""LOTIFICACION CAMPO VERDE"""	LA PAZ	27				3	3	4	3	3		8	2	1																			
12083	"INSTITUTO NACIONAL ""JOSê SIMEON CA•AS"""	LA PAZ	1727																686	632	409													
12086	"ESCUELA DE EDUCACION PARVULARIA ""DE ZACATECOLUCA"""	LA PAZ	50				18	21	11																									
12087	CENTRO ESCOLAR CASER÷O LA LUCHITA	LA PAZ	245				16	21	26	32	19	15	16	19	19	22	22	18																
12088	"CENTRO ESCOLAR ""CANTON PENITENTE ABAJO"""	LA PAZ	262				15	14	22	22	25	24	20	24	24	25	26	21																
12090	"ESCUELA DE EDUCACION ESPECIAL  ""DE ZACATECOLUCA"""	LA PAZ	72					2	4					3	3							3	9	10	7	7	7	7	2	1		5	1	1
12091	"CENTRO ESCOLAR ""COLONIA EL CARMEN"""	LA PAZ	130				6	16	15	16	8	18	23	6	22																			
12092	"CENTRO ESCOLAR ""CASERIO LA MAGDALENA"""	LA PAZ	26				1	1	9	4	3	3	2	1	2																			
12093	"CENTRO ESCOLAR  ""LOTIFICACION LAS BRISAS"""	LA PAZ	32				3	4	4	3	9		4	3	2																			
12095	"CENTRO ESCOLAR ""CANTON SAN MARCOS DE LA CRUZ"""	LA PAZ	138				8	5	9	13	11	5	20	16	9	13	17	12																
12096	"CENTRO ESCOLAR ""CANTON LAS TABLAS"""	LA PAZ	246				3	6	23	21	13	17	17	22	20	44	32	28																
12097	"CENTRO ESCOLAR ""PROFESOR SAUL FLORES"""	LA PAZ	391				11	22	30	36	36	34	36	26	45	51	35	29																
12099	"CENTRO ESCOLAR ""CANTON EL AMATE"""	LA PAZ	44				6	6	4	2	9	4	3	5	5																			
12100	"CENTRO ESCOLAR ""CANTON PIEDRA GRANDE ABAJO"""	LA PAZ	32				3	6	1	5	6	1	4	3	3																			
12101	"COMPLEJO EDUCATIVO ""PROFESOR JUAN OSCAR SALOM‡N"""	LA PAZ	346				12	21	21	24	28	24	32	34	33	36	23	21	12	25														
12102	"CENTRO ESCOLAR ""CANTON EL COPINOL"""	LA PAZ	55				4	11	9	9	5	6	4	4	3																			
12104	CENTRO ESCOLAR CANT‡N LA LUCHA	LA PAZ	160					6	17	14	16	15	16	14	19	13	14	16																
12105	"CENTRO ESCOLAR ""CANTON EL CALLEJON"""	LA PAZ	49				5	3	5	5	4	6	8	7	6																			
12107	"CENTRO ESCOLAR ""CANTON SAN  JOSECITO"""	LA PAZ	64				1	8	9	7	11	11	8	6	3																			
12109	CENTRO ESCOLAR CANT‡N EL ESPINO ABAJO	LA PAZ	552				14	34	35	42	46	62	41	48	40	72	62	56																
12110	"CENTRO ESCOLAR ""CANTON BUENA VISTA ABAJO"""	LA PAZ	44				4	6	5	1	9	5	6	6	2																			
12111	"CENTRO ESCOLAR ""16 DE AGOSTO DE 1996"""	LA PAZ	57				3	8	9	9	6	7	5	5	5																			
12112	"CENTRO ESCOLAR ""CANTON SAN FRANCISCO LOS REYES"""	LA PAZ	259				4	13	22	20	20	28	33	24	21	28	26	20																
12113	"CENTRO ESCOLAR ""JOSE VAQUERANO"""	LA PAZ	313				33	30	40	27	24	32	28	26	18	15	23	17																
12114	"CENTRO ESCOLAR ""CANTON HATO DE LOS REYES"""	LA PAZ	48				3	5	9	4	3	7	8	5	4																			
12115	"CENTRO ESCOLAR ""CANTON TIERRA BLANCA"""	LA PAZ	508				21	26	37	45	50	33	50	56	45	56	48	41																
12116	"CENTRO ESCOLAR ""SAN AGUSTIN"""	LA PAZ	393				16	22	14	33	35	29	37	32	43	52	46	34																
12117	"COMPLEJO EDUCATIVO ""PROFESOR CARLOS LOBATO"""	LA PAZ	1104				6	21	25	42	40	40	46	40	54	73	76	71	250	190	130													
12118	"ESCUELA DE EDUCACI‡N PARVULARIA ""DOCTOR MIGUEL TOMµS MOLINA"""	LA PAZ	247				50	101	96																									
12119	"ESCUELA DE EDUCACION PARVULARIA ""COLONIA 27 DE SEPTIEMBRE"""	LA PAZ	91				31	36	24																									
12120	"CENTRO ESCOLAR ""LUCIA DE VILLACORTA"""	LA PAZ	387							19	47	44	48	39	56	56	33	45																
12121	"CENTRO ESCOLAR ""CANTON PLATANARES"""	LA PAZ	18					3	3	6	3	1			2																			
12122	"CENTRO ESCOLAR ""15 DE SEPTIEMBRE"""	LA PAZ	121				4	7	13	6	11	17	5	11	7	18	11	11																
12123	"CENTRO ESCOLAR ""CLAUDIA LARS"""	LA PAZ	262							20	17	21	21	47	29	37	37	33																
12124	"CENTRO ESCOLAR ""CATARINO DE JESÈS ORT÷Z"""	LA PAZ	541				22	24	31	39	57	46	58	49	62	44	61	48																
12126	INSTITUTO NACIONAL DE SAN LUIS LA HERRADURA	LA PAZ	256																121	109	26													
12127	"CENTRO ESCOLAR ""CANTON SAN ANTONIO LOS BLANCOS"""	LA PAZ	113				1	6	10	8	8	13	15	16	9	13	8	6																
12128	"COMPLEJO EDUCATIVO ""µNGELA SCORSONELLI"""	LA PAZ	259				5	15	13	16	18	14	24	23	16	25	24	27	26	13														
12129	"CENTRO ESCOLAR ""SAN LUIS LA HERRADURA"""	LA PAZ	419				17	30	25	22	32	29	52	42	37	48	51	34																
12131	"CENTRO ESCOLAR ""FRANCISCO CASTA•EDA"""	LA PAZ	1026				27	68	79	99	100	79	113	109	99	78	82	93																
12132	"COMPLEJO EDUCATIVO  ""PROFESOR REYNALDO PADILLA"""	LA PAZ	440				4	26	28	26	26	22	32	28	25	30	38	26	60	61	8													
12133	COMPLEJO  EDUCATIVO CASER÷O SAN FIDEL, CANT‡N BA•ADERO	CABA•AS	361				16	23	10	15	27	17	37	38	28	48	48	38	16															
12136	"CENTRO ESCOLAR ""CASERIO LA ANTENA, CANTON TEMPISQUE"""	CABA•AS	80				5	9	5	16	6	14	10	8	7																			
12137	"CENTRO ESCOLAR ""CASERIO ZACAMIL, CANTON TEMPISQUE"""	CABA•AS	20					3	1		4		6	2	4																			
12138	"CENTRO ESCOLAR ""CANTON AGUA ZARCA"""	CABA•AS	19				1	5	2	1	5	1	1	2	1																			
12139	"CENTRO ESCOLAR ""VILLA GUACOTECTI"""	CABA•AS	182				6	13	10	19	12	17	22	25	26	14	10	8																
12140	"CENTRO ESCOLAR ""CANTON TEMPISQUE"""	CABA•AS	124				4	10	7	8	8	3	10	7	13	23	16	15																
12141	"CENTRO ESCOLAR ""CASERIO NUEVO TEPEYAC, CANTON POTRERO"""	CABA•AS	49				2	4	9	5	7	7	6	4	5																			
12143	INSTITUTO NACIONAL DE ILOBASCO	CABA•AS	662																335	270	57													
12144	"CENTRO ESCOLAR ""CASERIO EL TRANSITO, CANTON ORATORIO"""	CABA•AS	41				4	2	5	5	1	3	11	4	6																			
12145	"CENTRO ESCOLAR ""CASERIO CONCEPCION, CANTON  LA QUESERA"""	CABA•AS	166				12	10	10	13	12	11	15	18	17	18	18	12																
12146	"CENTRO ESCOLAR ""CASERIO SAYULAPA, CANTON SITIO VIEJO"""	CABA•AS	169				11	9	15	14	9	14	12	10	16	19	20	20																
12147	"CENTRO ESCOLAR ""CANTON SAN FRANCISCO DEL MONTE"""	CABA•AS	174					5	13	14	11	15	21	21	20	23	13	18																
12148	"CENTRO ESCOLAR ""CASERIO EL ZACAMIL, CANTON LOS HOYOS"""	CABA•AS	26							5		3	6	11	1																			
12149	"CENTRO ESCOLAR ""CASERIO NUEVO PORVENIR, CANTON LOS HOYOS"""	CABA•AS	162				9	6	13	11	14	13	10	18	20	20	11	17																
12150	"CENTRO ESCOLAR ""CASERIO LAS FLORES, CANTON CERRO COLORADO"""	CABA•AS	74				9	5	8	9	9	9	8	7	10																			
12151	"CENTRO ESCOLAR ""DOCTOR VIDAL SEVERO LOPEZ"""	CABA•AS	113				4	6	8	6	8	12	9	15	14	10	9	12																
12155	"ESCUELA DE EDUCACI‡N ESPECIAL ""DE ILOBASCO"""	CABA•AS	65					3	2					4	4							7	9	3	4	7	3	3	3		1	2	2	8
12156	"CENTRO ESCOLAR ""CASERIO POTRERILLOS, CANTON SAN FRANCISCO IRAHETA"""	CABA•AS	165				2	16	13	9	19	14	19	12	22	20	10	9																
12157	"CENTRO ESCOLAR ""PROFESOR  JUAN ROBERTO JUµREZ"""	CABA•AS	461				9	20	17	33	37	38	45	50	51	61	50	50																
12158	"CENTRO ESCOLAR ""CANTON LAS HUERTAS"""	CABA•AS	190				2	3	10	17	14	18	20	14	24	19	24	25																
12160	"CENTRO ESCOLAR ""CANTON EL MATAZANO"""	CABA•AS	228				9	16	17	17	19	20	22	18	21	27	18	24																
12161	"CENTRO ESCOLAR ""CASERIO PE•AS BLANCAS, CANTON MAQUILISHUAT"""	CABA•AS	133				5	9	8	10	16	14	9	10	12	14	13	13																
12162	"CENTRO ESCOLAR ""CASERIO EL CARMEN, CANTON POTRERO"""	CABA•AS	139				1	4	13	11	13	13	20	18	13	15	12	6																
12163	"CENTRO ESCOLAR ""CASERIO SAN VICENTE, CANTON MAQUILISHUAT"""	CABA•AS	68				1	9	4	6	7	8	14	14	5																			
12165	"CENTRO ESCOLAR ""CASERIO LOS HERNANDEZ, CANTON LA LABOR"""	CABA•AS	33							3	4	4	8	5	9																			
12166	"CENTRO ESCOLAR ""CANTON AZACUALPA"""	CABA•AS	269				2	15	17	16	27	21	22	28	24	35	30	32																
12167	"CENTRO ESCOLAR ""CANTON SAN FRANCISCO IRAHETA"""	CABA•AS	298				21	33	22	19	23	31	24	31	34	21	24	15																
12168	"CENTRO ESCOLAR ""JERONIMO ABARCA"""	CABA•AS	311				4	22	17	32	22	23	29	28	25	37	37	35																
12169	"CENTRO ESCOLAR ""CASERIO EL MESTIZO, CANTON SAN JOSE"""	CABA•AS	127				7	6	9	12	13	5	12	12	11	12	16	12																
12170	COMPLEJO EDUCATIVO CANT‡N LOS HOYOS	CABA•AS	121					6	10	11	9	13	15	12	16	12	9	8																
12171	"CENTRO ESCOLAR ""CANTON SAN JOSE LOMAS DE PE•A"""	CABA•AS	142				4	7	10	12	12	13	18	14	15	14	9	14																
12172	"CENTRO ESCOLAR ""CASERIO MENJIVAR, CANTON LOS HOYOS"""	CABA•AS	47				4	5	2	4	8	3	4	5	12																			
12173	"CENTRO ESCOLAR ""CANTON SITIO VIEJO"""	CABA•AS	31				5	5	5	1	2	6	4		3																			
12174	"CENTRO ESCOLAR ""CANTON LA LABOR"""	CABA•AS	48				4	2	4	4	8	6	8	8	4																			
12175	"CENTRO ESCOLAR ""CASERIO LAS MINAS, CANTON AZACUALPA"""	CABA•AS	83				1	5	15	12	9	7	9	16	9																			
12176	"CENTRO ESCOLAR ""CASERIO EL LIMON, CANTON MAQUILISHUAT"""	CABA•AS	21							3	1	6	5	5	1																			
12177	"CENTRO ESCOLAR ""CANTON NANASTEPEQUE"""	CABA•AS	67				5	5	7	3	2	7	6	6	7	5	8	6																
12178	"CENTRO ESCOLAR ""CANTON LA QUESERA"""	CABA•AS	243				4	20	12	15	18	17	33	17	16	30	37	24																
12179	CENTRO ESCOLAR CANT‡N ORATORIO	CABA•AS	108				2	8	9	13	19	12	15	15	15																			
12180	COMPLEJO EDUCATIVO CASER÷O RANCHO QUEMADO, CANT‡N MAQUILISHUAT	CABA•AS	179				3	11	11	13	16	14	21	15	18	18	24	15																
12181	"CENTRO ESCOLAR ""AGUSTIN RIVERA"""	CABA•AS	183				6	13	12	16	14	14	14	22	17	17	19	19																
12182	"CENTRO ESCOLAR ""CASERIO BUENOS AIRES, CANTON POTRERO"""	CABA•AS	147				4	7	15	13	14	15	14	11	14	19	11	10																
12183	"CENTRO ESCOLAR ""ISABEL LA CAT‡LICA"""	CABA•AS	138				7	13	7	12	9	9	21	12	17	8	9	14																
12184	COMPLEJO EDUCATIVO CANT‡N CERRO COLORADO	CABA•AS	275				1	18	17	13	19	29	23	19	29	29	28	21	22	7														
12185	"CENTRO ESCOLAR ""CASERIO LOS FRAILES, CANTON SITIO VIEJO"""	CABA•AS	167				2	7	10	18	23	14	22	10	21	16	12	12																
12186	"CENTRO ESCOLAR ""BERNARDO PERDOMO"""	CABA•AS	563							44	46	45	56	71	86	73	78	64																
12188	"CENTRO ESCOLAR ""CANTON SAN JOSE"""	CABA•AS	163					14	13	13	7	14	17	16	19	16	17	17																
12189	"ESCUELA DE EDUCACI‡N PARVULARIA ""GABRIELA MISTRAL"""	CABA•AS	364			22	72	116	154																									
12190	"CENTRO ESCOLAR ""CANTON SANTA CRUZ LA MILAGROSA"""	CABA•AS	159				8	13	7	21	7	18	15	13	11	16	18	12																
12192	"CENTRO ESCOLAR ""GENERAL FRANCISCO MENENDEZ"""	CABA•AS	609							56	54	67	81	84	67	84	56	60																
12193	"CENTRO ESCOLAR ""SOR HENRIQUEZ"""	CABA•AS	909							102	90	90	106	108	85	100	109	119																
12195	"CENTRO ESCOLAR ""CANTON SAN SEBASTIAN"""	CABA•AS	38				3	2	5	4	6	7	7	4																				
12196	CENTRO ESCOLAR CANT‡N PALACIOS	CABA•AS	149				1	4	19	10	13	13	13	15	21	18	11	11																
12197	"CENTRO ESCOLAR ""CASERIO LOS RIVAS, CANTON LLANO LARGO"""	CABA•AS	47				7	7	2	6	6	7	6	6																				
12198	"CENTRO ESCOLAR ""JOSE DE JESUS MENJIVAR"""	CABA•AS	210				6	10	25	18	17	9	27	19	19	25	17	18																
12199	"CENTRO ESCOLAR ""CANTON CERRON GRANDE"""	CABA•AS	165				2	14	8	8	10	9	15	16	18	27	15	23																
12200	"CENTRO ESCOLAR ""15 DE SEPTIEMBRE"""	CABA•AS	298				15	17	22	27	25	19	29	39	22	33	24	26																
12201	"CENTRO ESCOLAR ""PAULA DE JESUS MENJIVAR"""	CABA•AS	124				1	6	5	8	3	13	15	8	18	26	11	10																
12202	"CENTRO ESCOLAR ""CASERIO EL JUNQUILLO, CANTON EL AMATE"""	CABA•AS	30							6	4	3	2	5	10																			
12203	ESCUELA DE EDUCACION PARVULARIA ELENA HAYDEE ALVARADO DE HERNµNDEZ	CABA•AS	77				25	24	28																									
12204	"CENTRO ESCOLAR ""CANTON EL AMATE"""	CABA•AS	9							2	2	1	2	1	1																			
12206	CENTRO ESCOLAR CANTON LOS JOBOS	CABA•AS	10							1		1	1	5	2																			
